sample,fastq_1,fastq_2,batch,run
TB-T3.DNA.MTB-031687,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031687_S166_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031687_S166_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031688,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031688_S165_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031688_S165_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031689,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031689_S164_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031689_S164_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031690,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031690_S163_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031690_S163_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031691,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031691_S162_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031691_S162_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031709,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031709_S149_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031709_S149_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031710,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031710_S148_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031710_S148_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031711,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031711_S147_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031711_S147_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031712,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031712_S146_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031712_S146_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031713,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031713_S145_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031713_S145_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031714,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031714_S144_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031714_S144_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031715,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031715_S158_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031715_S158_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031716,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031716_S157_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031716_S157_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031717,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031717_S156_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031717_S156_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031718,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031718_S155_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031718_S155_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031719,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031719_S154_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031719_S154_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031720,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031720_S153_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031720_S153_R2_001.fastq.gz,IS-1000,Walter-TB
